Threads,Policy,Runtime
1,dynamic,1353.76
2,dynamic,694.634
4,dynamic,397.234
8,dynamic,420.394
10,dynamic,342.716
20,dynamic,187.009
1,static,1338.45
2,static,729.046
4,static,377.158
8,static,410.799
10,static,334.382
20,static,186.56
1,static_1,1344.6
2,static_1,725.011
4,static_1,376.675
8,static_1,411.079
10,static_1,336.413
20,static_1,185.436
